Date,Open,High,Low,Close,Adj Close,Volume,MktRF,SMB,HML,RF,RMW,CMA,SMB_5,yest_close,stock_return,log_return
2016-06-02,65.519997,65.809998,65.160004,65.809998,58.752651,10637600,0.35,0.31,-0.59,0.001,-0.24,-0.08,0.25,58.645523,0.0018267038048241637,0.0018250347270933887
2016-06-03,64.25,64.860001,63.549999,64.639999,57.708121999999996,20261700,-0.38,-0.14,-0.1,0.001,0.53,0.14,-0.18,58.752651,-0.01777841479867869,-0.017938373334965618
2016-06-06,64.639999,65.760002,64.599998,65.279999,58.279491,13193500,0.6,0.68,0.32,0.001,-0.19,-0.11,0.71,57.708121999999996,0.009901015319819354,0.009852296594680787
2016-06-07,65.449997,65.739998,65.040001,65.059998,58.083084,9924100,0.12,0.19,0.11,0.001,0.34,0.22,0.23,58.279491,-0.0033700877723863557,-0.00337580503287338
2016-06-08,64.93,65.480003,64.91999799999999,65.25,58.252705000000006,9428000,0.37,0.45,-0.11,0.001,0.05,-0.1,0.43,58.083084,0.002920316696682402,0.0029161558984522884
2016-06-09,64.790001,64.900002,64.269997,64.75,57.806332,10817800,-0.27,-0.39,-0.21,0.001,0.31,0.13,-0.43,58.252705000000006,-0.007662699955306939,-0.007692345623155461
2016-06-10,63.93,64.07,63.580002,63.84,56.993922999999995,16678400,-1.05,-0.35,-0.17,0.001,0.16,0.6,-0.38,57.806332,-0.014053979415265483,-0.014153747438093944
2016-06-13,63.48,64.339996,63.259997999999996,63.27,56.485046,14314900,-0.84,-0.37,0.1,0.001,-0.24,-0.04,-0.37,56.993922999999995,-0.0089286185827215,-0.008968669982760247
2016-06-14,62.68,63.470001,61.68,62.080002,55.422665,19509300,-0.19,0.27,-0.71,0.001,0.27,0.03,0.14,56.485046,-0.018808181549502413,-0.0189873750673355
2016-06-15,62.41,62.98,61.91,61.970001,55.324451,16982100,-0.11,0.25,-0.06,0.001,-0.05,0.05,0.26,55.422665,-0.0017720908945825446,-0.00177349498060142
2016-06-16,61.450001,62.299999,60.900002,62.220001,55.54764599999999,16791200,0.24,-0.34,-0.4,0.001,0.28,0.35,-0.31,55.324451,0.004034292179419726,0.004026094430637173
2016-06-17,62.299999,62.709998999999996,61.93,62.279999,55.601212,15751500,-0.3,-0.1,0.94,0.001,0.4,0.62,0.07,55.54764599999999,0.0009643252929206678,0.0009638233677851105
